CountryNum,StateNum,Route,RouteName,Active,Latitude,Longitude,Stratum,BCR,RouteTypeID,RouteTypeDetailID,x_3310,y_3310,n_pur_5km,lbs_ai_5km
840,14,90,BLYTHE,1,33.6171807,-114.6230009,82,33,1,1,498893.1077771486,-474469.94015873084,9585,42725.49540687
840,14,92,ALAMO RIVER,1,32.8471607,-115.4338989,82,33,1,1,427827.20239636075,-563649.1801812616,18101,119413.54856148991
840,14,94,FT IRWIN,1,34.9995167,-116.9363639,83,33,1,1,279400.3037640957,-330727.0414621793,0,0.0
840,14,95,LUMBERYARD,1,38.5562592,-120.2906994,66,15,1,1,-25304.11579750059,60055.32191804517,0,0.0
840,14,96,BODIE,1,38.1752167,-119.1943049,88,9,1,1,70491.46924676708,17958.39018854173,0,0.0
840,14,97,ONO,1,40.5164906,-122.3819302,92,32,1,1,-201843.65492863982,280358.5592804784,7,91.61225466
840,14,98,FOLSOM,1,38.7202247,-121.0356899,92,32,1,1,-89951.54425641164,78733.73033556901,14,6.924117699999999
840,14,99,S CATALINA,1,33.3657387,-118.3742829,90,32,1,1,151390.04429523312,-515196.77120997617,0,0.0
840,14,100,WISTER,1,33.285091,-115.579064,82,33,1,1,411974.0867566438,-515826.2363044517,1276,8405.094404239999
840,14,103,SAWMILL MTN,1,34.5675322,-118.55729,92,32,1,1,132321.1135072439,-382189.2505147336,0,0.0
840,14,104,TUJUNGA,1,34.2581397,-118.1049598,95,32,1,1,174488.85601739615,-415785.58307888266,0,0.0
840,14,106,MESA GRANDE,1,33.1990869,-116.7862853,90,32,1,1,299850.8672253926,-529881.7359030955,0,0.0
840,14,108,CARMEL VAL,1,36.4530827,-121.6956939,92,32,1,1,-151776.26562314693,-172411.77882991964,64,8.42533558
840,14,109,CIMA,1,35.1743817,-115.4116059,83,33,1,1,417426.72454199684,-305722.00435544504,0,0.0
840,14,110,GREENHORN MT,1,35.7786557,-118.5699849,92,15,1,1,129128.42706069314,-247733.85119830864,0,0.0
840,14,111,VALYERMO,1,34.3863889,-117.69055,95,32,1,1,212292.82072669012,-400713.1397238546,0,0.0
840,14,112,PEARBLOSSOM,1,34.5208799,-117.9406162,90,33,1,1,188985.5138873244,-386321.1382402857,118,35.5418384
840,14,114,SISQUOC,1,34.7375727,-120.2354279,92,32,1,1,-21546.697586019098,-364295.42190467333,0,0.0
840,14,115,Lake Berryessa,1,38.633233,-122.288826,92,32,1,1,-199006.7466985661,70975.06245887373,65,129.3965245
840,14,116,LONE PINE,1,36.5074727,-118.0989909,80,33,1,1,170029.86606218352,-166019.82760835066,0,0.0
840,14,117,SILVER CITY,1,36.4664267,-118.6547779,92,15,1,1,120387.96792188569,-171432.0510084913,0,0.0
840,14,118,LOCKWOOD VAL,1,34.7383427,-119.0450209,95,32,1,1,87398.80183337805,-363796.52507272176,0,0.0
840,14,119,ELSINORE MTN,1,33.6484217,-117.4101409,90,32,1,1,240298.77292732918,-481874.772920243,0,0.0
840,14,122,CUYAMACA PK,1,32.9845324,-116.6771527,92,32,1,1,310862.2234312363,-553288.4810265019,0,0.0
840,14,123,ADELAIDA,1,35.6378262,-120.8547697,92,32,1,1,-77327.47292567816,-264003.68056002306,158,851.8057246999999
840,14,124,DEATH VALLEY,1,36.4373087,-116.8511739,80,33,1,1,281863.0137855401,-170840.99844199698,0,0.0
840,14,125,MARICOPA,1,35.0586291,-119.3492988,91,32,1,1,59308.06298499501,-328474.7305586315,1654,34668.18644959999
840,14,127,SANGER,1,36.6992615,-119.5118359,91,32,1,1,43555.306554040144,-146297.06064218655,12087,63787.21377724003
840,14,128,KELSO VALLEY,1,35.5494581,-118.2071003,92,33,1,1,162374.3528052706,-272632.86699699424,0,0.0
840,14,129,MT BALDY,1,34.1748887,-117.6766129,92,32,1,1,214148.74330561428,-424141.9413580345,15,8.2600607
840,14,130,GREEN VALLEY,1,34.2452557,-117.0639579,95,32,1,1,270359.82309675624,-414772.39774021786,0,0.0
840,14,132,KINGS CANYON,1,36.8189424,-118.9088976,92,15,1,1,97196.27252433864,-132547.86043584952,0,0.0
840,14,133,ELIZABETH LK,1,34.6685951,-118.3953543,92,32,1,1,146982.18828671155,-370734.9180980385,0,0.0
840,14,134,VENTUCOPA,1,34.8187907,-119.5569949,90,32,1,1,40502.22548868963,-355211.61040369,0,0.0
840,14,136,LAKE CACHUMA,1,34.6739607,-119.6685329,92,32,1,1,30360.998281031963,-371330.14729526173,0,0.0
840,14,137,JACUMBA,1,32.6119997,-116.2002339,90,32,1,1,357110.1625062722,-592838.7679120135,0,0.0
840,14,138,CRESTON,1,35.3183817,-120.5084609,92,32,1,1,-46189.03885929722,-299709.5433395393,5,575.1539222
840,14,139,GREENWATER V,1,36.0509851,-116.5004177,80,33,1,1,314831.18920598004,-212639.99362125387,0,0.0
840,14,140,CARRIZO PLN,1,35.0931687,-119.7298739,91,32,1,1,24609.83561698462,-324808.0073545105,0,0.0
840,14,142,MT PINOS 2,1,34.8339402,-119.3299456,95,32,1,1,61248.28288381874,-353407.9961538068,0,0.0
840,14,143,Twentynine Palms,1,34.165288,-116.001438,83,33,1,1,368523.70639855845,-420058.757359792,0,0.0
840,14,147,ARVIN,1,35.2233697,-118.8782429,91,32,1,1,102024.36093340733,-309781.344281503,6684,76255.61553308993
840,14,148,GLENN,1,39.5508277,-122.0649918,91,32,1,1,-177327.2158131069,172485.33044491708,814,2008.8343825200002
840,14,149,ATWATER,1,37.2442817,-120.6701509,91,32,1,1,-59364.214504156,-85618.92927632015,3118,30697.05875572001
840,14,150,BRAWLEY,1,32.9416587,-115.5356439,82,33,1,1,417808.4810064181,-553647.3760102964,8360,107609.11483172995
840,14,151,LIKELY,1,41.2351468,-120.3368295,85,9,1,1,-28262.301216201457,357647.46205773763,0,0.0
840,14,153,GOLD HILL,1,38.7687607,-120.9253159,92,32,1,1,-80313.03179960561,84029.29510713089,82,135.22778549999998
840,14,154,CROWLEY LAKE,1,37.6375765,-118.6550657,88,9,1,1,118515.60519428285,-41268.080913595855,0,0.0
840,14,155,WESTLEY,1,37.5141365,-121.1597352,91,32,1,1,-102364.59204091546,-55204.878026398364,4126,25161.000896399983
840,14,156,TUOLUMNE GROVE,1,37.7472667,-119.8035199,66,15,1,1,17289.123558621533,-29896.941108562984,0,0.0
840,14,158,SATTLEY,1,39.6153759,-120.4258218,85,15,1,1,-36537.186362219014,177808.4710543519,1,0.97325
840,14,159,OROVILLE,1,39.4978958,-121.6093062,91,32,1,1,-138300.21181455182,165846.1543889474,57,149.0000308
840,14,160,LONGVALE,1,39.5664857,-123.3982919,93,5,1,1,-291720.0441924192,177522.703102062,0,0.0
840,14,161,TEHAMA,1,40.3357087,-121.9157259,92,32,1,1,-162749.3850773206,259391.2059282642,0,0.0
840,14,162,HONEY LAKE,1,40.4932903,-120.1080006,89,9,1,1,-9155.81608903454,275251.8734132182,0,0.0
840,14,164,JUNCTION CTY,1,40.6589377,-123.0337989,93,5,1,1,-256559.8397141821,297744.83151681256,0,0.0
840,14,165,DAVIS CREEK,1,41.7332787,-120.3753129,85,9,1,1,-31272.558473663106,412917.532364469,7,27.2032068
840,14,166,DORRIS,1,41.9998861,-121.8916067,85,9,1,1,-157016.37030082074,443982.79717070516,229,2367.1728326999996
840,14,168,MACDOEL,1,41.8224004,-122.0111142,85,9,1,1,-167352.25652763515,424513.425885329,684,7576.126569689999
840,14,169,MCCLOUD,1,41.2323207,-122.1355519,85,5,1,1,-179179.71385525522,359301.74987746216,0,0.0
840,14,171,TRANQUILLITY,1,36.6541134,-120.2610649,91,32,1,1,-23306.799285034285,-151394.98444452975,8663,145075.3367470801
