chemical_class,buffer_m,lag_window_days,lbs_ai,acres_treated,tox_units_avian,tox_units_aquatic,n_sections_intersected,n_applications,location_id,survey_start,survey_end,spatial_join
Organophosphates,1000,90,4.7444,46.9843,0.091238,13.555397,1,1,BBS_CA_092_ALAMO_RIVER_2020,2020-05-28,2020-06-10,plss_spatial
Pyrethroids,1000,90,18.1265,541.0567,0.003989,68.003751,5,41,BBS_CA_092_ALAMO_RIVER_2020,2020-05-28,2020-06-10,plss_spatial
Restricted neonics,1000,90,0.0528,0.6632,9.2e-05,1e-06,1,1,BBS_CA_092_ALAMO_RIVER_2020,2020-05-28,2020-06-10,plss_spatial
Spinosyns,1000,90,2.7452,66.305,0.00122,0.01204,5,9,BBS_CA_092_ALAMO_RIVER_2020,2020-05-28,2020-06-10,plss_spatial
Carbamates,2000,90,438.3017,978.9359,18.111639,57.671271,7,26,BBS_CA_092_ALAMO_RIVER_2020,2020-05-28,2020-06-10,plss_spatial
Diamides,2000,90,44.617,910.9823,0.01983,3.846292,7,24,BBS_CA_092_ALAMO_RIVER_2020,2020-05-28,2020-06-10,plss_spatial
Next-gen systemics,2000,90,27.633,219.3074,0.119108,0.000356,8,14,BBS_CA_092_ALAMO_RIVER_2020,2020-05-28,2020-06-10,plss_spatial
Organophosphates,2000,90,10.6436,81.4477,0.438049,21.639712,2,2,BBS_CA_092_ALAMO_RIVER_2020,2020-05-28,2020-06-10,plss_spatial
Pyrethroids,2000,90,79.1551,2470.5148,0.018483,313.34239,9,70,BBS_CA_092_ALAMO_RIVER_2020,2020-05-28,2020-06-10,plss_spatial
Restricted neonics,2000,90,1.0582,13.303,0.001837,1.1e-05,1,1,BBS_CA_092_ALAMO_RIVER_2020,2020-05-28,2020-06-10,plss_spatial
Spinosyns,2000,90,14.239,341.9714,0.006328,0.062448,8,14,BBS_CA_092_ALAMO_RIVER_2020,2020-05-28,2020-06-10,plss_spatial
Carbamates,5000,90,1374.066,3074.0,56.779587,180.798158,9,34,BBS_CA_092_ALAMO_RIVER_2020,2020-05-28,2020-06-10,plss_spatial
Diamides,5000,90,145.7968,2949.4696,0.064799,12.568691,10,34,BBS_CA_092_ALAMO_RIVER_2020,2020-05-28,2020-06-10,plss_spatial
Next-gen systemics,5000,90,261.4174,2354.651,1.126799,0.003369,20,47,BBS_CA_092_ALAMO_RIVER_2020,2020-05-28,2020-06-10,plss_spatial
Organophosphates,5000,90,122.7114,272.0124,7.992084,69.874823,5,6,BBS_CA_092_ALAMO_RIVER_2020,2020-05-28,2020-06-10,plss_spatial
Pyrethroids,5000,90,245.9597,7663.8753,0.057919,986.19024,19,98,BBS_CA_092_ALAMO_RIVER_2020,2020-05-28,2020-06-10,plss_spatial
Restricted neonics,5000,90,29.9611,97.2767,0.913075,0.000349,2,3,BBS_CA_092_ALAMO_RIVER_2020,2020-05-28,2020-06-10,plss_spatial
Spinosyns,5000,90,57.2261,1026.5445,0.026823,0.166309,18,53,BBS_CA_092_ALAMO_RIVER_2020,2020-05-28,2020-06-10,plss_spatial
Carbamates,500,30,4.6331,10.3916,0.191449,0.609615,1,2,BBS_CA_092_ALAMO_RIVER_2021,2021-05-28,2021-06-10,plss_spatial
Diamides,500,30,0.3356,6.8945,0.000149,0.028935,1,1,BBS_CA_092_ALAMO_RIVER_2021,2021-05-28,2021-06-10,plss_spatial
Next-gen systemics,500,30,2.1993,12.0903,0.00948,2.8e-05,1,2,BBS_CA_092_ALAMO_RIVER_2021,2021-05-28,2021-06-10,plss_spatial
Pyrethroids,500,30,0.496,17.2861,0.000126,2.156523,1,3,BBS_CA_092_ALAMO_RIVER_2021,2021-05-28,2021-06-10,plss_spatial
Carbamates,1000,30,21.3009,47.7763,0.880201,2.802747,1,2,BBS_CA_092_ALAMO_RIVER_2021,2021-05-28,2021-06-10,plss_spatial
Diamides,1000,30,1.5431,31.6977,0.000686,0.133028,1,1,BBS_CA_092_ALAMO_RIVER_2021,2021-05-28,2021-06-10,plss_spatial
Next-gen systemics,1000,30,10.1117,55.5859,0.043585,0.00013,1,2,BBS_CA_092_ALAMO_RIVER_2021,2021-05-28,2021-06-10,plss_spatial
Pyrethroids,1000,30,2.2804,79.474,0.000577,9.914758,1,3,BBS_CA_092_ALAMO_RIVER_2021,2021-05-28,2021-06-10,plss_spatial
Carbamates,2000,30,157.0776,350.4274,6.490808,20.668099,3,18,BBS_CA_092_ALAMO_RIVER_2021,2021-05-28,2021-06-10,plss_spatial
Diamides,2000,30,15.1841,297.1404,0.006748,1.308975,3,17,BBS_CA_092_ALAMO_RIVER_2021,2021-05-28,2021-06-10,plss_spatial
Next-gen systemics,2000,30,22.0112,121.0,0.094876,0.000284,1,2,BBS_CA_092_ALAMO_RIVER_2021,2021-05-28,2021-06-10,plss_spatial
Pyrethroids,2000,30,24.2137,802.0205,0.009374,100.174326,4,46,BBS_CA_092_ALAMO_RIVER_2021,2021-05-28,2021-06-10,plss_spatial
Spinosyns,2000,30,1.372,33.3779,0.00061,0.006018,1,1,BBS_CA_092_ALAMO_RIVER_2021,2021-05-28,2021-06-10,plss_spatial
Carbamates,5000,30,1381.5908,3089.7511,57.090531,181.788269,7,36,BBS_CA_092_ALAMO_RIVER_2021,2021-05-28,2021-06-10,plss_spatial
Diamides,5000,30,138.3717,2828.5832,0.061499,11.928591,7,32,BBS_CA_092_ALAMO_RIVER_2021,2021-05-28,2021-06-10,plss_spatial
Next-gen systemics,5000,30,22.0112,121.0,0.094876,0.000284,1,2,BBS_CA_092_ALAMO_RIVER_2021,2021-05-28,2021-06-10,plss_spatial
Pyrethroids,5000,30,256.1895,8254.9666,0.104532,1072.169611,10,96,BBS_CA_092_ALAMO_RIVER_2021,2021-05-28,2021-06-10,plss_spatial
Restricted neonics,5000,30,5.1135,29.7818,0.002557,5e-06,1,2,BBS_CA_092_ALAMO_RIVER_2021,2021-05-28,2021-06-10,plss_spatial
Spinosyns,5000,30,24.2137,465.3249,0.011314,0.072566,5,5,BBS_CA_092_ALAMO_RIVER_2021,2021-05-28,2021-06-10,plss_spatial
Carbamates,500,60,10.7518,24.1806,0.444287,1.414705,1,4,BBS_CA_092_ALAMO_RIVER_2021,2021-05-28,2021-06-10,plss_spatial
Diamides,500,60,1.0069,20.6834,0.000448,0.086804,1,3,BBS_CA_092_ALAMO_RIVER_2021,2021-05-28,2021-06-10,plss_spatial
Next-gen systemics,500,60,2.1993,12.0903,0.00948,2.8e-05,1,2,BBS_CA_092_ALAMO_RIVER_2021,2021-05-28,2021-06-10,plss_spatial
Pyrethroids,500,60,1.4868,51.7584,0.000376,6.464341,1,8,BBS_CA_092_ALAMO_RIVER_2021,2021-05-28,2021-06-10,plss_spatial
Spinosyns,500,60,0.2758,6.8945,0.000123,0.00121,1,1,BBS_CA_092_ALAMO_RIVER_2021,2021-05-28,2021-06-10,plss_spatial
Carbamates,1000,60,49.4319,111.1718,2.042641,6.5042,1,4,BBS_CA_092_ALAMO_RIVER_2021,2021-05-28,2021-06-10,plss_spatial
Diamides,1000,60,4.6294,95.0932,0.002058,0.399085,1,3,BBS_CA_092_ALAMO_RIVER_2021,2021-05-28,2021-06-10,plss_spatial
Next-gen systemics,1000,60,10.1117,55.5859,0.043585,0.00013,1,2,BBS_CA_092_ALAMO_RIVER_2021,2021-05-28,2021-06-10,plss_spatial
Pyrethroids,1000,60,7.8773,242.9244,0.001844,31.590473,2,12,BBS_CA_092_ALAMO_RIVER_2021,2021-05-28,2021-06-10,plss_spatial
Spinosyns,1000,60,1.2682,31.6977,0.000564,0.005562,1,1,BBS_CA_092_ALAMO_RIVER_2021,2021-05-28,2021-06-10,plss_spatial
Carbamates,2000,60,225.9148,505.3606,9.335323,29.725632,3,22,BBS_CA_092_ALAMO_RIVER_2021,2021-05-28,2021-06-10,plss_spatial
Diamides,2000,60,21.9023,435.1404,0.009734,1.888131,3,19,BBS_CA_092_ALAMO_RIVER_2021,2021-05-28,2021-06-10,plss_spatial
Next-gen systemics,2000,60,23.738,132.3727,0.102319,0.000306,3,5,BBS_CA_092_ALAMO_RIVER_2021,2021-05-28,2021-06-10,plss_spatial
Pyrethroids,2000,60,59.3567,1298.4407,0.014788,191.188415,6,61,BBS_CA_092_ALAMO_RIVER_2021,2021-05-28,2021-06-10,plss_spatial
Spinosyns,2000,60,5.1091,126.0351,0.002271,0.022408,3,5,BBS_CA_092_ALAMO_RIVER_2021,2021-05-28,2021-06-10,plss_spatial
Carbamates,5000,60,1525.2218,3411.7511,63.025696,200.687085,7,40,BBS_CA_092_ALAMO_RIVER_2021,2021-05-28,2021-06-10,plss_spatial
Diamides,5000,60,147.9859,3007.6383,0.065772,12.757409,8,35,BBS_CA_092_ALAMO_RIVER_2021,2021-05-28,2021-06-10,plss_spatial
Next-gen systemics,5000,60,98.0329,609.3674,0.422556,0.001263,8,11,BBS_CA_092_ALAMO_RIVER_2021,2021-05-28,2021-06-10,plss_spatial
Pyrethroids,5000,60,396.0426,9714.6214,0.123572,1389.885234,14,119,BBS_CA_092_ALAMO_RIVER_2021,2021-05-28,2021-06-10,plss_spatial
Restricted neonics,5000,60,5.1135,29.7818,0.002557,5e-06,1,2,BBS_CA_092_ALAMO_RIVER_2021,2021-05-28,2021-06-10,plss_spatial
Spinosyns,5000,60,48.4208,969.3249,0.022525,0.151157,7,10,BBS_CA_092_ALAMO_RIVER_2021,2021-05-28,2021-06-10,plss_spatial
Carbamates,500,90,10.7518,24.1806,0.444287,1.414705,1,4,BBS_CA_092_ALAMO_RIVER_2021,2021-05-28,2021-06-10,plss_spatial
Diamides,500,90,1.0069,20.6834,0.000448,0.086804,1,3,BBS_CA_092_ALAMO_RIVER_2021,2021-05-28,2021-06-10,plss_spatial
Next-gen systemics,500,90,2.2333,13.1894,0.00953,2.8e-05,1,3,BBS_CA_092_ALAMO_RIVER_2021,2021-05-28,2021-06-10,plss_spatial
Pyrethroids,500,90,1.4868,51.7584,0.000376,6.464341,1,8,BBS_CA_092_ALAMO_RIVER_2021,2021-05-28,2021-06-10,plss_spatial
Spinosyns,500,90,0.3009,7.9936,0.000134,0.00132,1,2,BBS_CA_092_ALAMO_RIVER_2021,2021-05-28,2021-06-10,plss_spatial
Carbamates,1000,90,49.4319,111.1718,2.042641,6.5042,1,4,BBS_CA_092_ALAMO_RIVER_2021,2021-05-28,2021-06-10,plss_spatial
Diamides,1000,90,4.6294,95.0932,0.002058,0.399085,1,3,BBS_CA_092_ALAMO_RIVER_2021,2021-05-28,2021-06-10,plss_spatial
Next-gen systemics,1000,90,10.4987,62.6651,0.044811,0.000134,3,5,BBS_CA_092_ALAMO_RIVER_2021,2021-05-28,2021-06-10,plss_spatial
Pyrethroids,1000,90,8.8357,251.9944,0.001976,33.624217,4,18,BBS_CA_092_ALAMO_RIVER_2021,2021-05-28,2021-06-10,plss_spatial
Spinosyns,1000,90,1.4591,38.1678,0.000648,0.0064,2,4,BBS_CA_092_ALAMO_RIVER_2021,2021-05-28,2021-06-10,plss_spatial
Carbamates,2000,90,225.9148,505.3606,9.335323,29.725632,3,22,BBS_CA_092_ALAMO_RIVER_2021,2021-05-28,2021-06-10,plss_spatial
Diamides,2000,90,21.9023,435.1404,0.009734,1.888131,3,19,BBS_CA_092_ALAMO_RIVER_2021,2021-05-28,2021-06-10,plss_spatial
Next-gen systemics,2000,90,29.8595,195.0634,0.127744,0.000381,7,13,BBS_CA_092_ALAMO_RIVER_2021,2021-05-28,2021-06-10,plss_spatial
Pyrethroids,2000,90,79.7582,1507.6904,0.01793,233.735192,9,74,BBS_CA_092_ALAMO_RIVER_2021,2021-05-28,2021-06-10,plss_spatial
Spinosyns,2000,90,6.8784,165.4613,0.003057,0.030166,5,9,BBS_CA_092_ALAMO_RIVER_2021,2021-05-28,2021-06-10,plss_spatial
Carbamates,5000,90,1525.2218,3411.7511,63.025696,200.687085,7,40,BBS_CA_092_ALAMO_RIVER_2021,2021-05-28,2021-06-10,plss_spatial
Diamides,5000,90,147.9859,3007.6383,0.065772,12.757409,8,35,BBS_CA_092_ALAMO_RIVER_2021,2021-05-28,2021-06-10,plss_spatial
Next-gen systemics,5000,90,196.6932,1593.9599,0.846854,0.002531,20,36,BBS_CA_092_ALAMO_RIVER_2021,2021-05-28,2021-06-10,plss_spatial
Organophosphates,5000,90,237.2648,294.0,7.780113,228.982602,2,3,BBS_CA_092_ALAMO_RIVER_2021,2021-05-28,2021-06-10,plss_spatial
Pyrethroids,5000,90,618.6363,11857.7204,0.157643,1849.894527,24,164,BBS_CA_092_ALAMO_RIVER_2021,2021-05-28,2021-06-10,plss_spatial
Restricted neonics,5000,90,16.1534,59.5636,0.358682,0.000135,1,4,BBS_CA_092_ALAMO_RIVER_2021,2021-05-28,2021-06-10,plss_spatial
Spinosyns,5000,90,54.2869,1063.9278,0.025265,0.168749,15,36,BBS_CA_092_ALAMO_RIVER_2021,2021-05-28,2021-06-10,plss_spatial
Carbamates,500,30,31.9493,71.3522,1.32022,4.203857,2,16,BBS_CA_092_ALAMO_RIVER_2022,2022-05-28,2022-06-10,plss_spatial
Diamides,500,30,1.7258,72.4513,0.000767,0.148779,2,17,BBS_CA_092_ALAMO_RIVER_2022,2022-05-28,2022-06-10,plss_spatial
Pyrethroids,500,30,4.7058,150.698,0.001597,19.946486,2,34,BBS_CA_092_ALAMO_RIVER_2022,2022-05-28,2022-06-10,plss_spatial
Spinosyns,500,30,0.2758,6.8945,0.000123,0.00121,1,1,BBS_CA_092_ALAMO_RIVER_2022,2022-05-28,2022-06-10,plss_spatial
Carbamates,1000,30,125.1318,279.6969,5.170735,16.464708,3,17,BBS_CA_092_ALAMO_RIVER_2022,2022-05-28,2022-06-10,plss_spatial
Diamides,1000,30,6.8204,286.5143,0.003031,0.587962,3,19,BBS_CA_092_ALAMO_RIVER_2022,2022-05-28,2022-06-10,plss_spatial
Pyrethroids,1000,30,18.8113,597.9089,0.006629,79.426568,3,37,BBS_CA_092_ALAMO_RIVER_2022,2022-05-28,2022-06-10,plss_spatial
Spinosyns,1000,30,1.2682,31.6977,0.000564,0.005562,1,1,BBS_CA_092_ALAMO_RIVER_2022,2022-05-28,2022-06-10,plss_spatial
Carbamates,2000,30,270.0104,603.7207,11.157457,35.527691,4,23,BBS_CA_092_ALAMO_RIVER_2022,2022-05-28,2022-06-10,plss_spatial
Diamides,2000,30,15.2876,642.2162,0.006794,1.317898,4,21,BBS_CA_092_ALAMO_RIVER_2022,2022-05-28,2022-06-10,plss_spatial
Pyrethroids,2000,30,41.3467,1318.4371,0.014531,174.626806,4,46,BBS_CA_092_ALAMO_RIVER_2022,2022-05-28,2022-06-10,plss_spatial
Spinosyns,2000,30,2.8993,72.5002,0.001289,0.012716,2,2,BBS_CA_092_ALAMO_RIVER_2022,2022-05-28,2022-06-10,plss_spatial
Carbamates,5000,30,678.1289,1489.3636,28.021854,89.227482,7,29,BBS_CA_092_ALAMO_RIVER_2022,2022-05-28,2022-06-10,plss_spatial
Diamides,5000,30,33.2721,1402.0,0.014788,2.868286,6,27,BBS_CA_092_ALAMO_RIVER_2022,2022-05-28,2022-06-10,plss_spatial
Pyrethroids,5000,30,88.0272,2994.0,0.026348,377.585774,6,57,BBS_CA_092_ALAMO_RIVER_2022,2022-05-28,2022-06-10,plss_spatial
Spinosyns,5000,30,16.3017,250.0,0.00783,0.035846,3,3,BBS_CA_092_ALAMO_RIVER_2022,2022-05-28,2022-06-10,plss_spatial
Carbamates,500,60,40.4666,90.7231,1.672174,5.324553,2,27,BBS_CA_092_ALAMO_RIVER_2022,2022-05-28,2022-06-10,plss_spatial
Diamides,500,60,1.831,76.7479,0.000814,0.157845,2,23,BBS_CA_092_ALAMO_RIVER_2022,2022-05-28,2022-06-10,plss_spatial
Pyrethroids,500,60,6.0535,196.3343,0.001939,25.80592,2,57,BBS_CA_092_ALAMO_RIVER_2022,2022-05-28,2022-06-10,plss_spatial
Spinosyns,500,60,0.9083,21.9689,0.000404,0.003984,2,6,BBS_CA_092_ALAMO_RIVER_2022,2022-05-28,2022-06-10,plss_spatial
Carbamates,1000,60,158.3613,355.5798,6.543853,20.837007,3,30,BBS_CA_092_ALAMO_RIVER_2022,2022-05-28,2022-06-10,plss_spatial
Diamides,1000,60,7.4305,311.5604,0.003302,0.640557,3,28,BBS_CA_092_ALAMO_RIVER_2022,2022-05-28,2022-06-10,plss_spatial
Pyrethroids,1000,60,24.3833,786.7477,0.008039,103.652597,3,68,BBS_CA_092_ALAMO_RIVER_2022,2022-05-28,2022-06-10,plss_spatial
Spinosyns,1000,60,3.5593,86.0629,0.001582,0.015611,3,7,BBS_CA_092_ALAMO_RIVER_2022,2022-05-28,2022-06-10,plss_spatial
Carbamates,2000,60,368.6474,827.4369,15.233364,48.506239,4,38,BBS_CA_092_ALAMO_RIVER_2022,2022-05-28,2022-06-10,plss_spatial
Diamides,2000,60,19.2584,807.6782,0.008559,1.660205,4,32,BBS_CA_092_ALAMO_RIVER_2022,2022-05-28,2022-06-10,plss_spatial
Pyrethroids,2000,60,60.066,1955.6684,0.019265,256.220768,4,83,BBS_CA_092_ALAMO_RIVER_2022,2022-05-28,2022-06-10,plss_spatial
Spinosyns,2000,60,8.7521,213.6084,0.00389,0.038386,4,10,BBS_CA_092_ALAMO_RIVER_2022,2022-05-28,2022-06-10,plss_spatial
Carbamates,5000,60,1020.7499,2262.8636,42.179746,134.309192,7,47,BBS_CA_092_ALAMO_RIVER_2022,2022-05-28,2022-06-10,plss_spatial
Diamides,5000,60,52.6916,2214.8742,0.023418,4.542378,7,41,BBS_CA_092_ALAMO_RIVER_2022,2022-05-28,2022-06-10,plss_spatial
Next-gen systemics,5000,60,3.3366,25.0,0.014382,4.3e-05,1,1,BBS_CA_092_ALAMO_RIVER_2022,2022-05-28,2022-06-10,plss_spatial
Pyrethroids,5000,60,152.1221,5133.6258,0.04173,647.376161,9,105,BBS_CA_092_ALAMO_RIVER_2022,2022-05-28,2022-06-10,plss_spatial
Spinosyns,5000,60,37.3825,773.5,0.017199,0.128306,7,13,BBS_CA_092_ALAMO_RIVER_2022,2022-05-28,2022-06-10,plss_spatial
Carbamates,500,90,40.4666,90.7231,1.672174,5.324553,2,27,BBS_CA_092_ALAMO_RIVER_2022,2022-05-28,2022-06-10,plss_spatial
Diamides,500,90,1.831,76.7479,0.000814,0.157845,2,23,BBS_CA_092_ALAMO_RIVER_2022,2022-05-28,2022-06-10,plss_spatial
Pyrethroids,500,90,6.0535,196.3343,0.001939,25.80592,2,57,BBS_CA_092_ALAMO_RIVER_2022,2022-05-28,2022-06-10,plss_spatial
Spinosyns,500,90,0.9083,21.9689,0.000404,0.003984,2,6,BBS_CA_092_ALAMO_RIVER_2022,2022-05-28,2022-06-10,plss_spatial
Carbamates,1000,90,158.3613,355.5798,6.543853,20.837007,3,30,BBS_CA_092_ALAMO_RIVER_2022,2022-05-28,2022-06-10,plss_spatial
Diamides,1000,90,7.4305,311.5604,0.003302,0.640557,3,28,BBS_CA_092_ALAMO_RIVER_2022,2022-05-28,2022-06-10,plss_spatial
Next-gen systemics,1000,90,0.8003,8.3278,0.003449,1e-05,2,2,BBS_CA_092_ALAMO_RIVER_2022,2022-05-28,2022-06-10,plss_spatial
Pyrethroids,1000,90,24.8075,801.4883,0.008147,105.496689,5,72,BBS_CA_092_ALAMO_RIVER_2022,2022-05-28,2022-06-10,plss_spatial
Spinosyns,1000,90,3.5593,86.0629,0.001582,0.015611,3,7,BBS_CA_092_ALAMO_RIVER_2022,2022-05-28,2022-06-10,plss_spatial
Carbamates,2000,90,368.6474,827.4369,15.233364,48.506239,4,38,BBS_CA_092_ALAMO_RIVER_2022,2022-05-28,2022-06-10,plss_spatial
Diamides,2000,90,19.2922,808.1105,0.008574,1.661894,5,33,BBS_CA_092_ALAMO_RIVER_2022,2022-05-28,2022-06-10,plss_spatial
Next-gen systemics,2000,90,11.7549,115.1942,0.050668,0.000151,4,4,BBS_CA_092_ALAMO_RIVER_2022,2022-05-28,2022-06-10,plss_spatial
Pyrethroids,2000,90,65.8653,2158.6982,0.020734,281.435038,7,89,BBS_CA_092_ALAMO_RIVER_2022,2022-05-28,2022-06-10,plss_spatial
Spinosyns,2000,90,8.7792,214.1488,0.003902,0.038505,5,11,BBS_CA_092_ALAMO_RIVER_2022,2022-05-28,2022-06-10,plss_spatial
Carbamates,5000,90,1051.3499,2315.8636,43.444209,138.335508,8,50,BBS_CA_092_ALAMO_RIVER_2022,2022-05-28,2022-06-10,plss_spatial
Diamides,5000,90,53.6298,2226.8742,0.023835,4.589288,8,42,BBS_CA_092_ALAMO_RIVER_2022,2022-05-28,2022-06-10,plss_spatial
Next-gen systemics,5000,90,95.8467,1025.4463,0.413132,0.001235,13,22,BBS_CA_092_ALAMO_RIVER_2022,2022-05-28,2022-06-10,plss_spatial
Organophosphates,5000,90,14.8618,12.2719,0.041398,21.231175,1,1,BBS_CA_092_ALAMO_RIVER_2022,2022-05-28,2022-06-10,plss_spatial
Pyrethroids,5000,90,208.9209,6886.0928,0.05491,869.47825,21,139,BBS_CA_092_ALAMO_RIVER_2022,2022-05-28,2022-06-10,plss_spatial
Spinosyns,5000,90,45.3695,920.1419,0.020886,0.154987,10,22,BBS_CA_092_ALAMO_RIVER_2022,2022-05-28,2022-06-10,plss_spatial
Carbamates,500,30,0.9811,2.1982,0.040542,0.129094,1,2,BBS_CA_092_ALAMO_RIVER_2023,2023-05-28,2023-06-10,plss_spatial
Diamides,500,30,0.1648,3.2973,7.3e-05,0.014211,1,3,BBS_CA_092_ALAMO_RIVER_2023,2023-05-28,2023-06-10,plss_spatial
Next-gen systemics,500,30,1.3669,7.494,0.005892,1.8e-05,1,1,BBS_CA_092_ALAMO_RIVER_2023,2023-05-28,2023-06-10,plss_spatial
Pyrethroids,500,30,0.2202,8.7929,6.5e-05,1.062486,1,8,BBS_CA_092_ALAMO_RIVER_2023,2023-05-28,2023-06-10,plss_spatial
Carbamates,1000,30,6.8923,15.399,0.284808,0.906888,2,5,BBS_CA_092_ALAMO_RIVER_2023,2023-05-28,2023-06-10,plss_spatial
Diamides,1000,30,0.9814,19.6529,0.000436,0.0846,2,6,BBS_CA_092_ALAMO_RIVER_2023,2023-05-28,2023-06-10,plss_spatial
Next-gen systemics,1000,30,6.2845,34.4541,0.027088,8.1e-05,1,1,BBS_CA_092_ALAMO_RIVER_2023,2023-05-28,2023-06-10,plss_spatial
Pyrethroids,1000,30,1.3746,54.7048,0.000381,7.012424,2,17,BBS_CA_092_ALAMO_RIVER_2023,2023-05-28,2023-06-10,plss_spatial
Spinosyns,1000,30,0.3059,4.8737,0.000136,0.001342,1,1,BBS_CA_092_ALAMO_RIVER_2023,2023-05-28,2023-06-10,plss_spatial
Carbamates,2000,30,84.8003,194.2936,3.504145,11.157934,3,21,BBS_CA_092_ALAMO_RIVER_2023,2023-05-28,2023-06-10,plss_spatial
Diamides,2000,30,8.4079,168.4212,0.003737,0.724822,3,17,BBS_CA_092_ALAMO_RIVER_2023,2023-05-28,2023-06-10,plss_spatial
Next-gen systemics,2000,30,13.6802,75.0,0.058966,0.000176,1,1,BBS_CA_092_ALAMO_RIVER_2023,2023-05-28,2023-06-10,plss_spatial
Pyrethroids,2000,30,13.7968,531.3704,0.004012,72.223112,4,55,BBS_CA_092_ALAMO_RIVER_2023,2023-05-28,2023-06-10,plss_spatial
Spinosyns,2000,30,4.1144,67.0725,0.001829,0.018046,2,3,BBS_CA_092_ALAMO_RIVER_2023,2023-05-28,2023-06-10,plss_spatial
Carbamates,5000,30,920.5517,2173.9313,38.039327,121.125224,8,41,BBS_CA_092_ALAMO_RIVER_2023,2023-05-28,2023-06-10,plss_spatial
Diamides,5000,30,88.9034,1773.7916,0.039513,7.664084,7,36,BBS_CA_092_ALAMO_RIVER_2023,2023-05-28,2023-06-10,plss_spatial
Next-gen systemics,5000,30,13.6802,75.0,0.058966,0.000176,1,1,BBS_CA_092_ALAMO_RIVER_2023,2023-05-28,2023-06-10,plss_spatial
Pyrethroids,5000,30,154.1316,5829.698,0.056714,694.651837,9,114,BBS_CA_092_ALAMO_RIVER_2023,2023-05-28,2023-06-10,plss_spatial
Spinosyns,5000,30,12.6744,245.0868,0.005633,0.055589,3,4,BBS_CA_092_ALAMO_RIVER_2023,2023-05-28,2023-06-10,plss_spatial
Carbamates,500,60,1.4676,3.2973,0.060645,0.193108,1,3,BBS_CA_092_ALAMO_RIVER_2023,2023-05-28,2023-06-10,plss_spatial
Diamides,500,60,0.1648,3.2973,7.3e-05,0.014211,1,3,BBS_CA_092_ALAMO_RIVER_2023,2023-05-28,2023-06-10,plss_spatial
Next-gen systemics,500,60,1.4369,7.8937,0.006194,1.9e-05,1,2,BBS_CA_092_ALAMO_RIVER_2023,2023-05-28,2023-06-10,plss_spatial
Pyrethroids,500,60,0.302,11.7905,8.7e-05,1.483898,1,12,BBS_CA_092_ALAMO_RIVER_2023,2023-05-28,2023-06-10,plss_spatial
Spinosyns,500,60,0.1013,1.8985,4.5e-05,0.000444,1,3,BBS_CA_092_ALAMO_RIVER_2023,2023-05-28,2023-06-10,plss_spatial
Carbamates,1000,60,9.923,22.2164,0.41004,1.305655,2,7,BBS_CA_092_ALAMO_RIVER_2023,2023-05-28,2023-06-10,plss_spatial
Diamides,1000,60,1.0732,21.4171,0.000477,0.09252,2,7,BBS_CA_092_ALAMO_RIVER_2023,2023-05-28,2023-06-10,plss_spatial
Next-gen systemics,1000,60,7.059,40.5118,0.030427,9.1e-05,2,3,BBS_CA_092_ALAMO_RIVER_2023,2023-05-28,2023-06-10,plss_spatial
Pyrethroids,1000,60,2.0905,81.2363,0.000569,10.778525,4,32,BBS_CA_092_ALAMO_RIVER_2023,2023-05-28,2023-06-10,plss_spatial
Spinosyns,1000,60,0.9915,17.5366,0.000443,0.004189,4,8,BBS_CA_092_ALAMO_RIVER_2023,2023-05-28,2023-06-10,plss_spatial
Carbamates,2000,60,105.9799,241.5394,4.379337,13.94473,3,23,BBS_CA_092_ALAMO_RIVER_2023,2023-05-28,2023-06-10,plss_spatial
Diamides,2000,60,10.2955,204.6671,0.004576,0.887542,3,18,BBS_CA_092_ALAMO_RIVER_2023,2023-05-28,2023-06-10,plss_spatial
Next-gen systemics,2000,60,23.9138,168.2989,0.103077,0.000308,4,5,BBS_CA_092_ALAMO_RIVER_2023,2023-05-28,2023-06-10,plss_spatial
Pyrethroids,2000,60,22.1776,845.4611,0.00615,117.639077,6,71,BBS_CA_092_ALAMO_RIVER_2023,2023-05-28,2023-06-10,plss_spatial
Spinosyns,2000,60,9.8902,172.7176,0.004448,0.04017,5,11,BBS_CA_092_ALAMO_RIVER_2023,2023-05-28,2023-06-10,plss_spatial
Carbamates,5000,60,1080.7232,2530.7323,44.657984,142.200424,8,52,BBS_CA_092_ALAMO_RIVER_2023,2023-05-28,2023-06-10,plss_spatial
Diamides,5000,60,96.3565,1923.8285,0.042825,8.306596,7,40,BBS_CA_092_ALAMO_RIVER_2023,2023-05-28,2023-06-10,plss_spatial
Next-gen systemics,5000,60,99.4926,863.0142,0.428847,0.001282,11,21,BBS_CA_092_ALAMO_RIVER_2023,2023-05-28,2023-06-10,plss_spatial
Organophosphates,5000,60,2.0032,2.0,0.00558,2.861773,1,1,BBS_CA_092_ALAMO_RIVER_2023,2023-05-28,2023-06-10,plss_spatial
Pyrethroids,5000,60,189.2288,7156.7845,0.066011,873.869036,12,153,BBS_CA_092_ALAMO_RIVER_2023,2023-05-28,2023-06-10,plss_spatial
Restricted neonics,5000,60,0.0307,2.25,0.00099,0.0,1,2,BBS_CA_092_ALAMO_RIVER_2023,2023-05-28,2023-06-10,plss_spatial
