chemical_class,buffer_m,lag_window_days,lbs_ai,acres_treated,tox_units_avian,tox_units_aquatic,n_sections_intersected,n_applications,location_id,survey_start,survey_end,spatial_join
Restricted neonics,5000,30,29.5773,64.2531,0.954105,0.000348,17,46,BBS_CA_054_ORANGE_COVE_2017,2017-05-28,2017-06-10,plss_spatial
Spinosyns,5000,30,22.6778,249.4546,0.010081,0.099351,35,392,BBS_CA_054_ORANGE_COVE_2017,2017-05-28,2017-06-10,plss_spatial
Diamides,500,60,0.0614,0.7103,2.7e-05,0.005292,3,13,BBS_CA_054_ORANGE_COVE_2017,2017-05-28,2017-06-10,plss_spatial
Pyrethroids,500,60,0.0478,1.166,2.4e-05,0.206221,3,30,BBS_CA_054_ORANGE_COVE_2017,2017-05-28,2017-06-10,plss_spatial
Restricted neonics,500,60,0.0433,0.086,0.001398,1e-06,1,1,BBS_CA_054_ORANGE_COVE_2017,2017-05-28,2017-06-10,plss_spatial
Spinosyns,500,60,0.1149,1.1629,5.1e-05,0.000504,3,31,BBS_CA_054_ORANGE_COVE_2017,2017-05-28,2017-06-10,plss_spatial
Diamides,1000,60,0.2486,2.8849,0.000111,0.021435,3,13,BBS_CA_054_ORANGE_COVE_2017,2017-05-28,2017-06-10,plss_spatial
Pyrethroids,1000,60,0.1884,4.5654,9.4e-05,0.811873,3,30,BBS_CA_054_ORANGE_COVE_2017,2017-05-28,2017-06-10,plss_spatial
Restricted neonics,1000,60,0.1824,0.3618,0.005884,2e-06,1,1,BBS_CA_054_ORANGE_COVE_2017,2017-05-28,2017-06-10,plss_spatial
Spinosyns,1000,60,0.4505,4.5383,0.0002,0.001976,3,31,BBS_CA_054_ORANGE_COVE_2017,2017-05-28,2017-06-10,plss_spatial
Diamides,2000,60,1.1138,12.8176,0.000495,0.09602,10,46,BBS_CA_054_ORANGE_COVE_2017,2017-05-28,2017-06-10,plss_spatial
Next-gen systemics,2000,60,0.247,1.6943,0.001065,3e-06,2,12,BBS_CA_054_ORANGE_COVE_2017,2017-05-28,2017-06-10,plss_spatial
Organophosphates,2000,60,5.6024,3.1226,0.142918,56.023898,3,7,BBS_CA_054_ORANGE_COVE_2017,2017-05-28,2017-06-10,plss_spatial
Other neonics,2000,60,0.0717,0.2876,0.000731,1e-06,1,4,BBS_CA_054_ORANGE_COVE_2017,2017-05-28,2017-06-10,plss_spatial
Pyrethroids,2000,60,1.2471,21.1418,0.000808,4.27959,10,117,BBS_CA_054_ORANGE_COVE_2017,2017-05-28,2017-06-10,plss_spatial
Restricted neonics,2000,60,1.9845,4.0879,0.064017,2.3e-05,6,18,BBS_CA_054_ORANGE_COVE_2017,2017-05-28,2017-06-10,plss_spatial
Spinosyns,2000,60,2.2732,23.8595,0.00101,0.00997,11,159,BBS_CA_054_ORANGE_COVE_2017,2017-05-28,2017-06-10,plss_spatial
Carbamates,5000,60,0.1491,0.1657,0.006162,0.019621,2,2,BBS_CA_054_ORANGE_COVE_2017,2017-05-28,2017-06-10,plss_spatial
Diamides,5000,60,5.9289,75.8029,0.002635,0.506039,28,137,BBS_CA_054_ORANGE_COVE_2017,2017-05-28,2017-06-10,plss_spatial
Next-gen systemics,5000,60,2.4058,16.122,0.01037,3.1e-05,4,16,BBS_CA_054_ORANGE_COVE_2017,2017-05-28,2017-06-10,plss_spatial
Organophosphates,5000,60,82.9006,32.5187,2.12307,827.642493,12,28,BBS_CA_054_ORANGE_COVE_2017,2017-05-28,2017-06-10,plss_spatial
Other neonics,5000,60,0.611,2.4518,0.006234,1.2e-05,1,4,BBS_CA_054_ORANGE_COVE_2017,2017-05-28,2017-06-10,plss_spatial
Pyrethroids,5000,60,29.9788,253.6158,0.023046,81.862705,34,336,BBS_CA_054_ORANGE_COVE_2017,2017-05-28,2017-06-10,plss_spatial
Restricted neonics,5000,60,30.3291,65.7208,0.978358,0.000357,18,63,BBS_CA_054_ORANGE_COVE_2017,2017-05-28,2017-06-10,plss_spatial
Spinosyns,5000,60,23.431,257.753,0.010416,0.102655,36,402,BBS_CA_054_ORANGE_COVE_2017,2017-05-28,2017-06-10,plss_spatial
Diamides,500,90,0.0614,0.7103,2.7e-05,0.005292,3,13,BBS_CA_054_ORANGE_COVE_2017,2017-05-28,2017-06-10,plss_spatial
Pyrethroids,500,90,0.0478,1.166,2.4e-05,0.206221,3,30,BBS_CA_054_ORANGE_COVE_2017,2017-05-28,2017-06-10,plss_spatial
Restricted neonics,500,90,0.0433,0.086,0.001398,1e-06,1,1,BBS_CA_054_ORANGE_COVE_2017,2017-05-28,2017-06-10,plss_spatial
Spinosyns,500,90,0.1149,1.1629,5.1e-05,0.000504,3,31,BBS_CA_054_ORANGE_COVE_2017,2017-05-28,2017-06-10,plss_spatial
Diamides,1000,90,0.2486,2.8849,0.000111,0.021435,3,13,BBS_CA_054_ORANGE_COVE_2017,2017-05-28,2017-06-10,plss_spatial
Pyrethroids,1000,90,0.1884,4.5654,9.4e-05,0.811873,3,30,BBS_CA_054_ORANGE_COVE_2017,2017-05-28,2017-06-10,plss_spatial
Restricted neonics,1000,90,0.1824,0.3618,0.005884,2e-06,1,1,BBS_CA_054_ORANGE_COVE_2017,2017-05-28,2017-06-10,plss_spatial
Spinosyns,1000,90,0.4505,4.5383,0.0002,0.001976,3,31,BBS_CA_054_ORANGE_COVE_2017,2017-05-28,2017-06-10,plss_spatial
Diamides,2000,90,1.1209,12.9255,0.000498,0.096631,10,47,BBS_CA_054_ORANGE_COVE_2017,2017-05-28,2017-06-10,plss_spatial
Next-gen systemics,2000,90,0.247,1.6943,0.001065,3e-06,2,12,BBS_CA_054_ORANGE_COVE_2017,2017-05-28,2017-06-10,plss_spatial
Organophosphates,2000,90,5.6024,3.1226,0.142918,56.023898,3,7,BBS_CA_054_ORANGE_COVE_2017,2017-05-28,2017-06-10,plss_spatial
Other neonics,2000,90,0.0717,0.2876,0.000731,1e-06,1,4,BBS_CA_054_ORANGE_COVE_2017,2017-05-28,2017-06-10,plss_spatial
Pyrethroids,2000,90,1.2539,21.8512,0.000812,4.302861,10,122,BBS_CA_054_ORANGE_COVE_2017,2017-05-28,2017-06-10,plss_spatial
Restricted neonics,2000,90,1.9845,4.0879,0.064017,2.3e-05,6,18,BBS_CA_054_ORANGE_COVE_2017,2017-05-28,2017-06-10,plss_spatial
Spinosyns,2000,90,2.2751,24.9696,0.001011,0.009972,11,161,BBS_CA_054_ORANGE_COVE_2017,2017-05-28,2017-06-10,plss_spatial
Carbamates,5000,90,0.1491,0.1657,0.006162,0.019621,2,2,BBS_CA_054_ORANGE_COVE_2017,2017-05-28,2017-06-10,plss_spatial
Diamides,5000,90,6.2271,79.8645,0.002768,0.531746,29,145,BBS_CA_054_ORANGE_COVE_2017,2017-05-28,2017-06-10,plss_spatial
Next-gen systemics,5000,90,2.4058,16.122,0.01037,3.1e-05,4,16,BBS_CA_054_ORANGE_COVE_2017,2017-05-28,2017-06-10,plss_spatial
Organophosphates,5000,90,82.9006,32.5187,2.12307,827.642493,12,28,BBS_CA_054_ORANGE_COVE_2017,2017-05-28,2017-06-10,plss_spatial
Other neonics,5000,90,0.611,2.4518,0.006234,1.2e-05,1,4,BBS_CA_054_ORANGE_COVE_2017,2017-05-28,2017-06-10,plss_spatial
