"species_code","common_name","abd_ppy","abd_ppy_lower","abd_ppy_upper","COUNTYFP","NAME","pre_lbs","post_lbs","pyr_delta","pyr_pct_change"
"treswa","Tree Swallow",0.0036260924655982,-1.152064131021,1.2499429112447,"011","Colusa",10797.5699021237,11436.1834091,638.613506976251,5.9144188253937
"treswa","Tree Swallow",-1.39559426577511,-3.05540797810915,0.394111595324154,"101","Sutter",10166.2668812465,11085.6980230267,919.431141780167,9.04394063740568
"treswa","Tree Swallow",-1.76106208069207,-2.6898113941113,-0.928075807854148,"115","Yuba",4677.3119707775,5894.797938218,1217.4859674405,26.0296079253854
"treswa","Tree Swallow",-0.501038857461163,-1.78846023944907,0.690502903192777,"057","Nevada",584.85944172875,614.976583328333,30.1171415995833,5.14946659842951
"treswa","Tree Swallow",-0.23794692540491,-1.63307589512617,1.63361417650824,"061","Placer",8323.73077271625,25886.6366847517,17562.9059120354,210.998005480951
"treswa","Tree Swallow",0.384618057735859,-0.548991784092087,1.80788910923895,"061","Placer",8323.73077271625,25886.6366847517,17562.9059120354,210.998005480951
"treswa","Tree Swallow",-1.44720345741637,-2.32998556466339,-0.00151725659307028,"097","Sonoma",2256.6156008515,3675.98983904567,1419.37423819417,62.8983614957987
"treswa","Tree Swallow",1.6709635876977,0.0473821486219131,3.06080354707426,"097","Sonoma",2256.6156008515,3675.98983904567,1419.37423819417,62.8983614957987
"treswa","Tree Swallow",0.144718279637287,-1.93237968898107,1.75354362415548,"033","Lake",1718.69798919125,1912.59252373333,193.894534542083,11.2814779421091
"treswa","Tree Swallow",-1.14090929493742,-2.3379169454671,0.593446744607813,"113","Yolo",10252.8175544867,10895.0128914133,642.195336926585,6.26359860120161
"treswa","Tree Swallow",1.0706821498597,-0.0665507886491192,2.27704982453432,"113","Yolo",10252.8175544867,10895.0128914133,642.195336926585,6.26359860120161
"treswa","Tree Swallow",-0.381425688584546,-1.56381008270612,0.896854694473458,"101","Sutter",10166.2668812465,11085.6980230267,919.431141780167,9.04394063740568
"treswa","Tree Swallow",-1.82611284499133,-2.70383050257794,-0.393740187025586,"061","Placer",8323.73077271625,25886.6366847517,17562.9059120354,210.998005480951
"treswa","Tree Swallow",-2.11791897602222,-3.52648977985676,-0.403381770089201,"003","Alpine",59.5949305375,8.86230470833334,-50.7326258291667,-85.1290963368826
"treswa","Tree Swallow",-0.785793848959167,-1.43749910626533,0.0810125536705824,"097","Sonoma",2256.6156008515,3675.98983904567,1419.37423819417,62.8983614957987
"treswa","Tree Swallow",-0.313346056226724,-1.2700010981546,1.11492942598551,"097","Sonoma",2256.6156008515,3675.98983904567,1419.37423819417,62.8983614957987
"treswa","Tree Swallow",-0.187527590337782,-1.64248355672058,2.22878749157056,"097","Sonoma",2256.6156008515,3675.98983904567,1419.37423819417,62.8983614957987
"treswa","Tree Swallow",-0.156730653295791,-1.65727205563571,1.80484660443406,"055","Napa",469.19231620375,817.717455058333,348.525138854583,74.281936600009
"treswa","Tree Swallow",-0.326108586633262,-1.43956859845156,0.801152266140528,"113","Yolo",10252.8175544867,10895.0128914133,642.195336926585,6.26359860120161
"treswa","Tree Swallow",-1.57619584395776,-3.32485243214775,0.53013732766671,"113","Yolo",10252.8175544867,10895.0128914133,642.195336926585,6.26359860120161
"treswa","Tree Swallow",-2.58724060686604,-4.2385484576483,-0.763876321433658,"067","Sacramento",27168.475418409,38155.3438019967,10986.8683835877,40.4397678352724
"treswa","Tree Swallow",-0.750436504243647,-1.82005306368889,-0.138987639162959,"067","Sacramento",27168.475418409,38155.3438019967,10986.8683835877,40.4397678352724
"treswa","Tree Swallow",0.823198134217432,-2.71014045859193,3.21028518020002,"003","Alpine",59.5949305375,8.86230470833334,-50.7326258291667,-85.1290963368826
"treswa","Tree Swallow",0.409441592149343,-3.41172494423215,2.53114321287132,"003","Alpine",59.5949305375,8.86230470833334,-50.7326258291667,-85.1290963368826
"treswa","Tree Swallow",-0.837380389881457,-1.82297824411873,0.208767425237566,"097","Sonoma",2256.6156008515,3675.98983904567,1419.37423819417,62.8983614957987
"treswa","Tree Swallow",-1.29868808219499,-2.23076970088792,-0.217363550883367,"097","Sonoma",2256.6156008515,3675.98983904567,1419.37423819417,62.8983614957987
"treswa","Tree Swallow",-0.648840700485601,-1.70290729849095,0.530724556705616,"055","Napa",469.19231620375,817.717455058333,348.525138854583,74.281936600009
"treswa","Tree Swallow",0.578212366719213,-0.249395532847119,1.70099001844548,"095","Solano",7388.3827048315,6514.78400811667,-873.598696714833,-11.8239502691646
"treswa","Tree Swallow",-0.877275263048763,-2.79758459453802,0.555204572011851,"113","Yolo",10252.8175544867,10895.0128914133,642.195336926585,6.26359860120161
"treswa","Tree Swallow",-2.76190665448206,-3.89073623312706,-0.839642216691869,"067","Sacramento",27168.475418409,38155.3438019967,10986.8683835877,40.4397678352724
"treswa","Tree Swallow",-2.59801118765119,-3.98939775090947,-1.55471104832056,"067","Sacramento",27168.475418409,38155.3438019967,10986.8683835877,40.4397678352724
"treswa","Tree Swallow",-0.969329714578468,-1.55117994472448,0.702958004093116,"095","Solano",7388.3827048315,6514.78400811667,-873.598696714833,-11.8239502691646
"treswa","Tree Swallow",-1.16663784383212,-2.21302659514567,-0.231781734497034,"095","Solano",7388.3827048315,6514.78400811667,-873.598696714833,-11.8239502691646
"treswa","Tree Swallow",-3.36060555118621,-4.63650050959405,-1.79591986592307,"077","San Joaquin",33031.4631906315,75878.7690705583,42847.3058799268,129.716645104839
"treswa","Tree Swallow",-1.6386910794185,-3.2414959516173,-0.399470894368918,"077","San Joaquin",33031.4631906315,75878.7690705583,42847.3058799268,129.716645104839
"treswa","Tree Swallow",-1.38302417846273,-3.26774199459865,0.78899449341042,"077","San Joaquin",33031.4631906315,75878.7690705583,42847.3058799268,129.716645104839
"treswa","Tree Swallow",-3.03848085925588,-4.63687167783387,-1.20089110514926,"077","San Joaquin",33031.4631906315,75878.7690705583,42847.3058799268,129.716645104839
"treswa","Tree Swallow",-1.50388181318535,-3.14109354096998,-0.165536142693487,"099","Stanislaus",37276.3724203613,58401.425535015,21125.0531146537,56.6714294954161
"treswa","Tree Swallow",-0.997330080153456,-2.41529228116233,1.10860044133334,"001","Alameda",3984.5234863695,9475.54966687166,5491.02618050216,137.808854666968
"treswa","Tree Swallow",0.378270697741188,-0.810757947802497,1.5957850717889,"001","Alameda",3984.5234863695,9475.54966687166,5491.02618050216,137.808854666968
"treswa","Tree Swallow",0.421541618022997,-0.993539662376197,1.48786551691453,"077","San Joaquin",33031.4631906315,75878.7690705583,42847.3058799268,129.716645104839
"treswa","Tree Swallow",-1.98871931019156,-3.16727725768123,0.702872458974301,"099","Stanislaus",37276.3724203613,58401.425535015,21125.0531146537,56.6714294954161
