year,county_cd,chemical,lbs
2019,21,chlorpyrifos,0.06561
2019,23,chlorpyrifos,16.8595196
2019,24,chlorpyrifos,4937.061478799999
2019,24,oxamyl,469.051032
2019,25,chlorpyrifos,141.9727224
2019,25,oxamyl,1837.7797200000002
2019,27,chlorpyrifos,138.6016126
2019,27,oxamyl,2983.7808959999998
2019,28,chlorpyrifos,0.20829999999999999
2019,29,chlorpyrifos,0.000938
2019,30,chlorpyrifos,464.8099237
2019,31,chlorpyrifos,1.5116649999999998
2019,33,chlorpyrifos,501.9501372
2019,33,oxamyl,406.38465600000006
2019,34,chlorpyrifos,0.750641
2019,35,oxamyl,246.39648
2019,36,chlorpyrifos,124.23268665
2019,37,chlorpyrifos,149.5433305
2019,37,oxamyl,776.3104559999999
2019,38,chlorpyrifos,0.0003125
2019,39,chlorpyrifos,416.1869622
2019,39,oxamyl,365.0990280000001
2019,40,chlorpyrifos,9.0
2019,40,oxamyl,219.619824
2019,41,chlorpyrifos,36.8847031
2019,42,chlorpyrifos,0.049284259999999996
2019,42,oxamyl,1206.1871879999999
2019,43,chlorpyrifos,0.9063679999999998
2019,43,oxamyl,329.90258400000005
2019,47,chlorpyrifos,0.035792
2019,47,oxamyl,600.4599659999999
2019,48,chlorpyrifos,0.000625
2019,49,chlorpyrifos,1.7448375
2019,50,chlorpyrifos,1251.2993359999998
2019,51,chlorpyrifos,240.24887999999999
2019,54,chlorpyrifos,249.3902237
2019,54,oxamyl,886.1068860000001
2019,56,chlorpyrifos,209.34022238
2019,56,oxamyl,1970.2957199999998
2020,01,chlorpyrifos,32.4071592
2020,04,chlorpyrifos,0.6576786
2020,05,chlorpyrifos,0.27075
2020,06,chlorpyrifos,390.56177999999994
2020,07,chlorpyrifos,19.218574500000003
2020,09,chlorpyrifos,0.004779
2020,10,chlorpyrifos,1255.8460255
2020,10,oxamyl,11231.764937999997
2020,13,chlorpyrifos,2.0469575
2020,13,oxamyl,1330.2853259999997
2020,15,chlorpyrifos,895.1589498999999
2020,15,oxamyl,7847.418834
2020,16,chlorpyrifos,7.158324499999999
2020,16,oxamyl,26459.232407999996
2020,17,chlorpyrifos,0.029551
2020,19,chlorpyrifos,657.84501806
2020,19,oxamyl,451.00752
2020,20,chlorpyrifos,322.48475949999994
2020,21,chlorpyrifos,0.2412
2020,23,chlorpyrifos,1.119344
2020,24,chlorpyrifos,7137.410170900001
2020,24,oxamyl,81.599496
2020,25,oxamyl,666.8577720000001
2020,27,oxamyl,3897.2782320000006
2020,28,chlorpyrifos,0.8137615
2020,29,chlorpyrifos,0.000469
2020,30,chlorpyrifos,63.7725436
2020,30,oxamyl,19.912032
2020,31,chlorpyrifos,3.6449638
2020,33,chlorpyrifos,127.96413767999998
2020,33,oxamyl,603.35448
2020,34,chlorpyrifos,65.59393979999999
2020,35,oxamyl,537.294888
2020,36,chlorpyrifos,174.303762
2020,37,chlorpyrifos,94.24922979999998
2020,37,oxamyl,917.3273520000001
2020,39,chlorpyrifos,588.5991612
2020,39,oxamyl,1948.462362
2020,40,chlorpyrifos,0.05
2020,40,oxamyl,286.431984
2020,41,chlorpyrifos,1.4801009999999999
2020,42,chlorpyrifos,0.011588999999999999
2020,42,oxamyl,1470.4566
2020,43,chlorpyrifos,9.137870499999998
2020,43,oxamyl,573.645792
2020,44,chlorpyrifos,3.875
2020,45,chlorpyrifos,1.20658738
2020,47,chlorpyrifos,0.01483775
2020,47,oxamyl,788.8064520000001
2020,48,chlorpyrifos,0.111284
2020,49,chlorpyrifos,3.1724125
2020,50,chlorpyrifos,1710.6608553
2020,50,oxamyl,120.46780799999999
2020,51,chlorpyrifos,273.0870084
2020,54,chlorpyrifos,105.5478096
2020,56,chlorpyrifos,170.0551881
2020,56,oxamyl,4077.9441359999996
2020,57,chlorpyrifos,0.2908
2021,01,chlorpyrifos,34.002018799999995
2021,07,chlorpyrifos,20.4071593
2021,07,oxamyl,136.258056
2021,09,chlorpyrifos,33.34375
2021,10,chlorpyrifos,1512.08678836
2021,10,oxamyl,2366.1376619999996
2021,13,oxamyl,1316.7895439999998
2021,15,chlorpyrifos,10.39539018
2021,15,oxamyl,141.574314
2021,16,chlorpyrifos,12.02828744
2021,16,oxamyl,10816.170960000001
2021,19,chlorpyrifos,489.34358432
2021,19,oxamyl,570.765336
2021,20,chlorpyrifos,9.6646135
2021,24,chlorpyrifos,3459.8925564999995
2021,24,oxamyl,213.914952
2021,25,oxamyl,970.4006759999999
2021,27,oxamyl,2602.6330560000006
2021,28,chlorpyrifos,2.320138
2021,30,chlorpyrifos,1112.91629178
2021,31,chlorpyrifos,0.4173008
2021,33,chlorpyrifos,204.82839740000003
2021,33,oxamyl,199.12032
2021,34,chlorpyrifos,0.00125
2021,35,chlorpyrifos,4.782100399999999
2021,35,oxamyl,413.413656
2021,36,chlorpyrifos,119.36313392
2021,37,chlorpyrifos,66.03275224000001
2021,37,oxamyl,1505.4800700000003
2021,39,chlorpyrifos,6.7662365399999995
2021,39,oxamyl,726.9095700000001
2021,40,oxamyl,88.548744
2021,41,chlorpyrifos,1.8708169999999997
2021,42,chlorpyrifos,0.014323000000000002
2021,42,oxamyl,663.0233279999998
2021,43,chlorpyrifos,0.014057
2021,43,oxamyl,749.0111039999999
2021,45,chlorpyrifos,1.130424
2021,47,oxamyl,372.85983
2021,49,chlorpyrifos,0.0937125
2021,50,chlorpyrifos,1106.2022600999999
2021,50,oxamyl,34.16904
2021,54,chlorpyrifos,0.041873
2021,56,chlorpyrifos,154.33915000000002
2021,56,oxamyl,2082.101736
2021,57,chlorpyrifos,0.003124
2022,01,chlorpyrifos,49.66258512
2022,07,chlorpyrifos,17.576841700000003
2022,07,oxamyl,33.61152
2022,10,chlorpyrifos,60.32086316
2022,10,oxamyl,6032.029415999999
2022,13,chlorpyrifos,2.01
2022,13,oxamyl,2227.99803
2022,15,chlorpyrifos,89.29328100000001
2022,15,oxamyl,1555.4147699999999
2022,16,oxamyl,15407.977283999999
2022,19,chlorpyrifos,741.5053259999999
2022,19,oxamyl,317.49734399999994
2022,23,chlorpyrifos,0.21572100000000002
2022,24,chlorpyrifos,0.001874
2022,24,oxamyl,474.205104
2022,25,oxamyl,1074.084312
2022,27,oxamyl,1864.4153760000002
2022,30,chlorpyrifos,365.75051936000006
2022,33,chlorpyrifos,160.51579334000002
2022,33,oxamyl,344.55888000000004
2022,34,chlorpyrifos,0.00125
2022,35,oxamyl,538.003152
2022,36,chlorpyrifos,257.79712648000003
2022,37,chlorpyrifos,46.731210080000004
2022,37,oxamyl,1773.414768
2022,39,chlorpyrifos,3.3864574999999997
2022,39,oxamyl,832.110384
2022,40,chlorpyrifos,5.8671522000000005
2022,40,oxamyl,50.05891200000001
2022,42,chlorpyrifos,0.031439
2022,42,oxamyl,937.040544
2022,43,chlorpyrifos,0.000625
2022,43,oxamyl,862.8679440000001
2022,45,chlorpyrifos,0.6855656000000001
2022,47,oxamyl,744.591582
2022,48,chlorpyrifos,0.00064425
2022,49,chlorpyrifos,0.5326645
2022,50,chlorpyrifos,21.9642108
2022,54,chlorpyrifos,14.0209014
2022,56,chlorpyrifos,0.856836
2022,56,oxamyl,1520.205936
2022,57,chlorpyrifos,0.026864
2023,01,chlorpyrifos,42.123144
2023,07,chlorpyrifos,20.0837133
2023,09,chlorpyrifos,0.002811
2023,10,chlorpyrifos,164.84441128
2023,10,oxamyl,9760.383720000002
2023,13,oxamyl,4156.044558
2023,15,chlorpyrifos,17.253
2023,15,oxamyl,9472.470857999999
2023,16,chlorpyrifos,9.6281472
2023,16,oxamyl,50146.040952
2023,19,chlorpyrifos,515.61565224
2023,19,oxamyl,229.685256
2023,24,oxamyl,1800.4554839999998
2023,25,oxamyl,1521.0847260000003
2023,27,oxamyl,3265.429968
2023,30,chlorpyrifos,574.50703152
2023,33,chlorpyrifos,175.15253368000003
2023,33,oxamyl,38.928024
2023,35,oxamyl,796.845432
2023,36,chlorpyrifos,320.13364442
2023,37,chlorpyrifos,59.61177118
2023,37,oxamyl,1752.916056
2023,39,chlorpyrifos,5.4910527
2023,39,oxamyl,552.836004
2023,40,chlorpyrifos,2.1061572
2023,40,oxamyl,3.1460879999999998
2023,42,oxamyl,513.7943040000001
2023,43,chlorpyrifos,0.60939
2023,43,oxamyl,1007.0908559999999
2023,47,oxamyl,382.396476
2023,50,chlorpyrifos,0.019784
2023,50,oxamyl,185.666832
2023,54,chlorpyrifos,21.778437500000003
2023,54,oxamyl,114.560922
2023,56,oxamyl,2241.955392
