year,county,class,lbs
2017,58,chlorpyrifos,11105.7365822
2017,58,pyrethroid,4222.209830465
2018,01,chlorpyrifos,31.8932376
2018,01,pyrethroid,4478.491367875
2018,02,pyrethroid,199.66188738
2018,03,pyrethroid,261.53855670999997
2018,04,chlorpyrifos,8373.750581219998
2018,04,pyrethroid,16838.409264320002
2018,05,chlorpyrifos,129.926086
2018,05,pyrethroid,833.781071465
2018,06,chlorpyrifos,9115.4622728
2018,06,pyrethroid,12944.246536294999
2018,07,chlorpyrifos,829.1892621
2018,07,pyrethroid,6202.25492486
2018,08,pyrethroid,190.60266574999997
2018,09,chlorpyrifos,6.0776909
2018,09,pyrethroid,2010.3455248950002
2018,10,chlorpyrifos,115300.25361518
2018,10,oxamyl,11351.553858
2018,10,pyrethroid,115037.60044848501
2018,11,chlorpyrifos,11342.20952532
2018,11,pyrethroid,17347.77215841
2018,12,chlorpyrifos,3.4055832
2018,12,pyrethroid,270.51290868499996
2018,13,chlorpyrifos,26656.1351072
2018,13,oxamyl,318.592512
2018,13,pyrethroid,27931.74253189
2018,14,chlorpyrifos,12.567471
2018,14,pyrethroid,247.990181325
2018,15,chlorpyrifos,144181.3157292
2018,15,oxamyl,11547.718769999996
2018,15,pyrethroid,76138.145703555
2018,16,chlorpyrifos,92147.5615474
2018,16,oxamyl,46358.01806999999
2018,16,pyrethroid,33266.837829235
2018,17,chlorpyrifos,145.61734439999998
2018,17,pyrethroid,1375.7444555349998
2018,18,chlorpyrifos,75.66861139999999
2018,18,pyrethroid,106.17646231999998
2018,19,chlorpyrifos,671.5122129599999
2018,19,oxamyl,124.624752
2018,19,pyrethroid,26366.534442297998
2018,20,chlorpyrifos,29434.0458387
2018,20,pyrethroid,42916.41832944
2018,21,chlorpyrifos,0.580247
2018,21,pyrethroid,286.48998132500003
2018,22,pyrethroid,94.71975454
2018,23,pyrethroid,969.93426323
2018,24,chlorpyrifos,29104.708016200002
2018,24,oxamyl,105.155448
2018,24,pyrethroid,24967.273373825
2018,25,chlorpyrifos,2300.9828611000003
2018,25,oxamyl,275.24133
2018,25,pyrethroid,593.7156964000001
2018,26,chlorpyrifos,37.992014999999995
2018,26,pyrethroid,63.55908323499999
2018,27,chlorpyrifos,732.1759597399999
2018,27,oxamyl,2626.472904
2018,27,pyrethroid,41851.07168606
2018,28,pyrethroid,305.753980255
2018,29,chlorpyrifos,0.002811
2018,29,pyrethroid,450.09124509000003
2018,30,chlorpyrifos,559.0534061200001
2018,30,pyrethroid,18827.349507386
2018,31,chlorpyrifos,785.8517249999999
2018,31,pyrethroid,3504.659276556
2018,32,chlorpyrifos,310.02396780000004
2018,32,pyrethroid,55.31306246
2018,33,chlorpyrifos,2859.2093964
2018,33,oxamyl,26.144496
2018,33,pyrethroid,26199.467066535
2018,34,chlorpyrifos,515.4477295
2018,34,pyrethroid,10306.002202426
2018,35,chlorpyrifos,59.5422477
2018,35,oxamyl,156.369192
2018,35,pyrethroid,3490.5958382199997
2018,36,chlorpyrifos,239.0113019
2018,36,pyrethroid,6098.36500202
2018,37,chlorpyrifos,1005.6681894999999
2018,37,oxamyl,344.956056
2018,37,pyrethroid,13564.56172504
2018,38,pyrethroid,677.3918545949999
2018,39,chlorpyrifos,15605.37410728
2018,39,oxamyl,1229.940978
2018,39,pyrethroid,35265.408093925
2018,40,chlorpyrifos,12.6365312
2018,40,oxamyl,182.09546400000002
2018,40,pyrethroid,6466.43399151
2018,41,pyrethroid,1045.7959053680001
2018,42,chlorpyrifos,71.3985772
2018,42,oxamyl,1335.2183999999997
2018,42,pyrethroid,13129.83372454
2018,43,chlorpyrifos,1.8321749
2018,43,oxamyl,568.7205120000001
2018,43,pyrethroid,5373.004374104
2018,44,chlorpyrifos,5.2629660000000005
2018,44,pyrethroid,2469.293980575
2018,45,chlorpyrifos,66.4033733
2018,45,pyrethroid,1565.2006605
2018,46,pyrethroid,11.01305765
2018,47,chlorpyrifos,3020.4444349000005
2018,47,oxamyl,472.09857
2018,47,pyrethroid,540.0878446300001
2018,48,chlorpyrifos,5049.25337246
2018,48,pyrethroid,6089.80288794
2018,49,chlorpyrifos,116.16731460000001
2018,49,pyrethroid,937.90191877
2018,50,chlorpyrifos,8165.897620920001
2018,50,pyrethroid,46787.649371145
2018,51,chlorpyrifos,7763.9423964
2018,51,pyrethroid,10111.94871877
2018,52,chlorpyrifos,2276.94076954
2018,52,pyrethroid,6135.20102654
2018,53,pyrethroid,3.3304155500000006
2018,54,chlorpyrifos,68995.8343581
2018,54,oxamyl,408.492126
2018,54,pyrethroid,44483.50051802999
2018,55,pyrethroid,537.12678099
2018,56,chlorpyrifos,3143.4715692
2018,56,oxamyl,1287.850488
2018,56,pyrethroid,9416.514262213
2018,57,chlorpyrifos,3029.15594618
2018,57,pyrethroid,10310.185480244
2018,58,chlorpyrifos,6862.9481473000005
2018,58,pyrethroid,4180.30692492
2019,01,chlorpyrifos,0.029683
2019,01,pyrethroid,3245.80326735
2019,02,pyrethroid,5.701901950000001
2019,03,pyrethroid,261.6786638
2019,04,pyrethroid,14869.819850865999
2019,05,pyrethroid,488.37221334000003
2019,06,pyrethroid,14652.678322487
2019,07,chlorpyrifos,22.3424889
2019,07,pyrethroid,4586.022352
2019,08,pyrethroid,199.250067575
2019,09,chlorpyrifos,0.003936
2019,09,pyrethroid,5656.243788185
2019,10,chlorpyrifos,468.5628253
2019,10,oxamyl,15459.00471
2019,10,pyrethroid,114617.602967505
2019,11,pyrethroid,17982.58099284
2019,12,pyrethroid,298.510166065
2019,13,oxamyl,667.880688
2019,13,pyrethroid,30882.342856794996
2019,14,pyrethroid,90.50601700000001
2019,15,chlorpyrifos,2295.3558254
2019,15,oxamyl,19133.384022000002
2019,15,pyrethroid,70990.136160675
2019,16,chlorpyrifos,46.6420322
2019,16,oxamyl,54908.697732
2019,16,pyrethroid,34080.10816955
2019,17,chlorpyrifos,402.3539872
2019,17,pyrethroid,913.150515365
2019,18,pyrethroid,43.765785179999995
2019,19,chlorpyrifos,684.603276
2019,19,oxamyl,268.59042
2019,19,pyrethroid,21255.843533631
2019,20,oxamyl,1028.237376
2019,20,pyrethroid,42111.310606485
2019,21,chlorpyrifos,0.06561
2019,21,pyrethroid,480.581709155
2019,22,pyrethroid,68.22461510000001
2019,23,chlorpyrifos,16.8595196
2019,23,pyrethroid,1541.9700330700002
2019,24,chlorpyrifos,4937.061478799999
2019,24,oxamyl,469.051032
2019,24,pyrethroid,25103.894046565
2019,25,chlorpyrifos,141.9727224
2019,25,oxamyl,1837.7797200000002
2019,25,pyrethroid,195.84421926
2019,26,pyrethroid,79.70403390999999
2019,27,chlorpyrifos,138.6016126
2019,27,oxamyl,2983.7808959999998
2019,27,pyrethroid,44717.977136815
2019,28,chlorpyrifos,0.20829999999999999
2019,28,pyrethroid,2810.4409623149995
2019,29,chlorpyrifos,0.000938
2019,29,pyrethroid,576.810746645
2019,30,chlorpyrifos,464.8099237
2019,30,pyrethroid,9757.812937437
2019,31,chlorpyrifos,1.5116649999999998
2019,31,pyrethroid,6706.231378665
2019,32,pyrethroid,52.389550549999996
2019,33,chlorpyrifos,501.9501372
2019,33,oxamyl,406.38465600000006
2019,33,pyrethroid,18035.780492439997
2019,34,chlorpyrifos,0.750641
2019,34,pyrethroid,12052.095926481
2019,35,oxamyl,246.39648
2019,35,pyrethroid,3810.54019306
2019,36,chlorpyrifos,124.23268665
2019,36,pyrethroid,6921.405143080001
2019,37,chlorpyrifos,149.5433305
2019,37,oxamyl,776.3104559999999
2019,37,pyrethroid,11335.28365049
2019,38,chlorpyrifos,0.0003125
2019,38,pyrethroid,710.33662785
2019,39,chlorpyrifos,416.1869622
2019,39,oxamyl,365.0990280000001
2019,39,pyrethroid,31664.730654760002
2019,40,chlorpyrifos,9.0
2019,40,oxamyl,219.619824
2019,40,pyrethroid,5511.427248010001
2019,41,chlorpyrifos,36.8847031
2019,41,pyrethroid,4132.49091391
2019,42,chlorpyrifos,0.049284259999999996
2019,42,oxamyl,1206.1871879999999
2019,42,pyrethroid,12683.157568006
2019,43,chlorpyrifos,0.9063679999999998
2019,43,oxamyl,329.90258400000005
2019,43,pyrethroid,4276.326714592
2019,44,pyrethroid,2649.0798442999994
2019,45,pyrethroid,1354.994330005
2019,46,pyrethroid,8.043789849999998
2019,47,chlorpyrifos,0.035792
2019,47,oxamyl,600.4599659999999
2019,47,pyrethroid,386.23510223000005
2019,48,chlorpyrifos,0.000625
2019,48,pyrethroid,6229.75019458
2019,49,chlorpyrifos,1.7448375
2019,49,pyrethroid,2357.909901965
2019,50,chlorpyrifos,1251.2993359999998
2019,50,pyrethroid,37204.08300688
2019,51,chlorpyrifos,240.24887999999999
2019,51,pyrethroid,10856.78107216
2019,52,pyrethroid,5875.078086132
2019,53,pyrethroid,1.5473646999999997
2019,54,chlorpyrifos,249.3902237
2019,54,oxamyl,886.1068860000001
2019,54,pyrethroid,46097.58198862
2019,55,pyrethroid,383.49050169
2019,56,chlorpyrifos,209.34022238
2019,56,oxamyl,1970.2957199999998
2019,56,pyrethroid,9751.714137865001
2019,57,pyrethroid,11857.321493945
2019,58,pyrethroid,4831.60286515
2020,01,chlorpyrifos,32.4071592
2020,01,pyrethroid,2722.05218579
2020,02,pyrethroid,6.160541824999998
2020,03,pyrethroid,317.89337979999993
2020,04,chlorpyrifos,0.6576786
2020,04,pyrethroid,16834.424394273
2020,05,chlorpyrifos,0.27075
2020,05,pyrethroid,1042.04063885
2020,06,chlorpyrifos,390.56177999999994
2020,06,pyrethroid,14607.28819656
2020,07,chlorpyrifos,19.218574500000003
2020,07,pyrethroid,5304.062360425
2020,08,pyrethroid,209.714247725
2020,09,chlorpyrifos,0.004779
2020,09,pyrethroid,2338.5002223099996
2020,10,chlorpyrifos,1255.8460255
2020,10,oxamyl,11231.764937999997
2020,10,pyrethroid,113227.56554621
2020,11,pyrethroid,14559.173753800002
2020,12,pyrethroid,197.89790849
2020,13,chlorpyrifos,2.0469575
2020,13,oxamyl,1330.2853259999997
2020,13,pyrethroid,37000.6386046
2020,14,pyrethroid,73.3703528
